"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H1";"MountingHole_3.2mm_M3";1;"MountingHole";;;
2;"U2";"SOT-23-5";1;"TL331";;;
3;"U1";"SOT-23";1;"SS49E";;;
4;"RV1";"CT6EP103";1;"10K";;;
5;"R3";"R_0805_2012Metric";1;"1k";;;
6;"R2";"R_0805_2012Metric";1;"10K";;;
7;"R1";"R_0805_2012Metric";1;"1.0K";;;
8;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
9;"D1";"LED_0805_2012Metric";1;"LED";;;
10;"C2";"C_0805_2012Metric";1;"1uF";;;
11;"C1";"C_0805_2012Metric";1;"0.1uF";;;
